Subject,Session,Epoch,MajStage
sub-20619,ses-01,0,0
sub-20619,ses-01,1,0
sub-20619,ses-01,2,0
sub-20619,ses-01,3,0
sub-20619,ses-01,4,0
sub-20619,ses-01,5,0
sub-20619,ses-01,6,0
sub-20619,ses-01,7,0
sub-20619,ses-01,8,0
sub-20619,ses-01,9,0
sub-20619,ses-01,10,0
sub-20619,ses-01,11,0
sub-20619,ses-01,12,0
sub-20619,ses-01,13,0
sub-20619,ses-01,14,0
sub-20619,ses-01,15,0
sub-20619,ses-01,16,0
sub-20619,ses-01,17,0
sub-20619,ses-01,18,0
sub-20619,ses-01,19,0
sub-20619,ses-01,20,0
sub-20619,ses-01,21,0
sub-20619,ses-01,22,0
sub-20619,ses-01,23,0
sub-20619,ses-01,24,0
sub-20619,ses-01,25,0
sub-20619,ses-01,26,0
sub-20619,ses-01,27,0
sub-20619,ses-01,28,0
sub-20619,ses-01,29,0
sub-20619,ses-01,30,0
sub-20619,ses-01,31,0
sub-20619,ses-01,32,0
sub-20619,ses-01,33,0
sub-20619,ses-01,34,0
sub-20619,ses-01,35,0
sub-20619,ses-01,36,0
sub-20619,ses-01,37,0
sub-20619,ses-01,38,0
sub-20619,ses-01,39,0
sub-20619,ses-01,40,0
sub-20619,ses-01,41,0
sub-20619,ses-01,42,0
sub-20619,ses-01,43,0
sub-20619,ses-01,44,0
sub-20619,ses-01,45,0
sub-20619,ses-01,46,0
sub-20619,ses-01,47,0
sub-20619,ses-01,48,0
sub-20619,ses-01,49,0
sub-20619,ses-01,50,0
sub-20619,ses-01,51,0
sub-20619,ses-01,52,0
sub-20619,ses-01,53,0
sub-20619,ses-01,54,0
sub-20619,ses-01,55,0
sub-20619,ses-01,56,0
sub-20619,ses-01,57,0
sub-20619,ses-01,58,0
sub-20619,ses-01,59,0
sub-20619,ses-01,60,0
sub-20619,ses-01,61,0
sub-20619,ses-01,62,0
sub-20619,ses-01,63,0
sub-20619,ses-01,64,0
sub-20619,ses-01,65,0
sub-20619,ses-01,66,0
sub-20619,ses-01,67,0
sub-20619,ses-01,68,0
sub-20619,ses-01,69,0
sub-20619,ses-01,70,0
sub-20619,ses-01,71,0
sub-20619,ses-01,72,0
sub-20619,ses-01,73,0
sub-20619,ses-01,74,0
sub-20619,ses-01,75,0
sub-20619,ses-01,76,0
sub-20619,ses-01,77,0
sub-20619,ses-01,78,0
sub-20619,ses-01,79,0
sub-20619,ses-01,80,0
sub-20619,ses-01,81,0
sub-20619,ses-01,82,0
sub-20619,ses-01,83,0
sub-20619,ses-01,84,0
sub-20619,ses-01,85,0
sub-20619,ses-01,86,0
sub-20619,ses-01,87,0
sub-20619,ses-01,88,0
sub-20619,ses-01,89,0
sub-20619,ses-01,90,4
sub-20619,ses-01,91,0
sub-20619,ses-01,92,0
sub-20619,ses-01,93,4
sub-20619,ses-01,94,0
sub-20619,ses-01,95,0
sub-20619,ses-01,96,0
sub-20619,ses-01,97,0
sub-20619,ses-01,98,0
sub-20619,ses-01,99,0
sub-20619,ses-01,100,0
sub-20619,ses-01,101,0
sub-20619,ses-01,102,0
sub-20619,ses-01,103,0
sub-20619,ses-01,104,0
sub-20619,ses-01,105,0
sub-20619,ses-01,106,0
sub-20619,ses-01,107,0
sub-20619,ses-01,108,0
sub-20619,ses-01,109,0
sub-20619,ses-01,110,0
sub-20619,ses-01,111,0
sub-20619,ses-01,112,0
sub-20619,ses-01,113,0
sub-20619,ses-01,114,0
sub-20619,ses-01,115,0
sub-20619,ses-01,116,0
sub-20619,ses-01,117,0
sub-20619,ses-01,118,0
sub-20619,ses-01,119,0
sub-20619,ses-01,120,0
sub-20619,ses-01,121,0
sub-20619,ses-01,122,0
sub-20619,ses-01,123,4
sub-20619,ses-01,124,4
sub-20619,ses-01,125,0
sub-20619,ses-01,126,4
sub-20619,ses-01,127,0
sub-20619,ses-01,128,0
sub-20619,ses-01,129,0
sub-20619,ses-01,130,0
sub-20619,ses-01,131,0
sub-20619,ses-01,132,0
sub-20619,ses-01,133,0
sub-20619,ses-01,134,0
sub-20619,ses-01,135,0
sub-20619,ses-01,136,0
sub-20619,ses-01,137,0
sub-20619,ses-01,138,0
sub-20619,ses-01,139,0
sub-20619,ses-01,140,0
sub-20619,ses-01,141,0
sub-20619,ses-01,142,0
sub-20619,ses-01,143,0
sub-20619,ses-01,144,0
sub-20619,ses-01,145,0
sub-20619,ses-01,146,0
sub-20619,ses-01,147,0
sub-20619,ses-01,148,0
sub-20619,ses-01,149,0
sub-20619,ses-01,150,0
sub-20619,ses-01,151,0
sub-20619,ses-01,152,0
sub-20619,ses-01,153,0
sub-20619,ses-01,154,0
sub-20619,ses-01,155,0
sub-20619,ses-01,156,0
sub-20619,ses-01,157,0
sub-20619,ses-01,158,0
sub-20619,ses-01,159,0
sub-20619,ses-01,160,0
sub-20619,ses-01,161,0
sub-20619,ses-01,162,0
sub-20619,ses-01,163,0
sub-20619,ses-01,164,0
sub-20619,ses-01,165,0
sub-20619,ses-01,166,0
sub-20619,ses-01,167,0
sub-20619,ses-01,168,0
sub-20619,ses-01,169,0
sub-20619,ses-01,170,0
sub-20619,ses-01,171,0
sub-20619,ses-01,172,0
sub-20619,ses-01,173,0
sub-20619,ses-01,174,0
sub-20619,ses-01,175,0
sub-20619,ses-01,176,0
sub-20619,ses-01,177,0
sub-20619,ses-01,178,0
sub-20619,ses-01,179,0
sub-20619,ses-01,180,2
sub-20619,ses-01,181,2
sub-20619,ses-01,182,2
sub-20619,ses-01,183,0
sub-20619,ses-01,184,0
sub-20619,ses-01,185,0
sub-20619,ses-01,186,0
sub-20619,ses-01,187,0
sub-20619,ses-01,188,0
sub-20619,ses-01,189,0
sub-20619,ses-01,190,1
sub-20619,ses-01,191,0
sub-20619,ses-01,192,1
sub-20619,ses-01,193,0
sub-20619,ses-01,194,0
sub-20619,ses-01,195,1
sub-20619,ses-01,196,0
sub-20619,ses-01,197,0
sub-20619,ses-01,198,0
sub-20619,ses-01,199,0
sub-20619,ses-01,200,0
sub-20619,ses-01,201,0
sub-20619,ses-01,202,0
sub-20619,ses-01,203,0
sub-20619,ses-01,204,0
sub-20619,ses-01,205,4
sub-20619,ses-01,206,4
sub-20619,ses-01,207,4
sub-20619,ses-01,208,4
sub-20619,ses-01,209,4
sub-20619,ses-01,210,0
sub-20619,ses-01,211,4
sub-20619,ses-01,212,1
sub-20619,ses-01,213,2
sub-20619,ses-01,214,2
sub-20619,ses-01,215,2
sub-20619,ses-01,216,1
sub-20619,ses-01,217,2
sub-20619,ses-01,218,2
sub-20619,ses-01,219,0
sub-20619,ses-01,220,0
sub-20619,ses-01,221,0
sub-20619,ses-01,222,0
sub-20619,ses-01,223,0
sub-20619,ses-01,224,0
sub-20619,ses-01,225,0
sub-20619,ses-01,226,0
sub-20619,ses-01,227,0
sub-20619,ses-01,228,0
sub-20619,ses-01,229,0
sub-20619,ses-01,230,0
sub-20619,ses-01,231,2
sub-20619,ses-01,232,2
sub-20619,ses-01,233,2
sub-20619,ses-01,234,0
sub-20619,ses-01,235,1
sub-20619,ses-01,236,0
sub-20619,ses-01,237,0
sub-20619,ses-01,238,1
sub-20619,ses-01,239,2
sub-20619,ses-01,240,2
sub-20619,ses-01,241,2
sub-20619,ses-01,242,2
sub-20619,ses-01,243,4
sub-20619,ses-01,244,4
sub-20619,ses-01,245,4
sub-20619,ses-01,246,4
sub-20619,ses-01,247,4
sub-20619,ses-01,248,4
sub-20619,ses-01,249,4
sub-20619,ses-01,250,4
sub-20619,ses-01,251,4
sub-20619,ses-01,252,4
sub-20619,ses-01,253,4
sub-20619,ses-01,254,4
sub-20619,ses-01,255,4
sub-20619,ses-01,256,0
sub-20619,ses-01,257,0
sub-20619,ses-01,258,0
sub-20619,ses-01,259,0
sub-20619,ses-01,260,0
sub-20619,ses-01,261,0
sub-20619,ses-01,262,0
sub-20619,ses-01,263,2
sub-20619,ses-01,264,2
sub-20619,ses-01,265,0
sub-20619,ses-01,266,2
sub-20619,ses-01,267,2
sub-20619,ses-01,268,4
sub-20619,ses-01,269,4
sub-20619,ses-01,270,4
sub-20619,ses-01,271,4
sub-20619,ses-01,272,4
sub-20619,ses-01,273,4
sub-20619,ses-01,274,0
sub-20619,ses-01,275,4
sub-20619,ses-01,276,4
sub-20619,ses-01,277,4
sub-20619,ses-01,278,4
sub-20619,ses-01,279,0
sub-20619,ses-01,280,4
sub-20619,ses-01,281,4
sub-20619,ses-01,282,0
sub-20619,ses-01,283,4
sub-20619,ses-01,284,4
sub-20619,ses-01,285,4
sub-20619,ses-01,286,4
sub-20619,ses-01,287,0
sub-20619,ses-01,288,0
sub-20619,ses-01,289,0
sub-20619,ses-01,290,0
sub-20619,ses-01,291,0
sub-20619,ses-01,292,4
sub-20619,ses-01,293,0
sub-20619,ses-01,294,0
sub-20619,ses-01,295,0
sub-20619,ses-01,296,0
sub-20619,ses-01,297,0
sub-20619,ses-01,298,0
sub-20619,ses-01,299,0
sub-20619,ses-01,300,0
sub-20619,ses-01,301,0
sub-20619,ses-01,302,0
sub-20619,ses-01,303,0
sub-20619,ses-01,304,0
sub-20619,ses-01,305,0
sub-20619,ses-01,306,0
sub-20619,ses-01,307,0
sub-20619,ses-01,308,0
sub-20619,ses-01,309,0
sub-20619,ses-01,310,0
sub-20619,ses-01,311,0
sub-20619,ses-01,312,0
sub-20619,ses-01,313,0
sub-20619,ses-01,314,4
sub-20619,ses-01,315,4
sub-20619,ses-01,316,4
sub-20619,ses-01,317,4
sub-20619,ses-01,318,4
sub-20619,ses-01,319,4
sub-20619,ses-01,320,4
sub-20619,ses-01,321,4
sub-20619,ses-01,322,4
sub-20619,ses-01,323,4
sub-20619,ses-01,324,0
sub-20619,ses-01,325,0
sub-20619,ses-01,326,4
sub-20619,ses-01,327,0
sub-20619,ses-01,328,0
sub-20619,ses-01,329,4
sub-20619,ses-01,330,4
sub-20619,ses-01,331,4
sub-20619,ses-01,332,0
sub-20619,ses-01,333,0
sub-20619,ses-01,334,0
sub-20619,ses-01,335,0
sub-20619,ses-01,336,0
sub-20619,ses-01,337,0
sub-20619,ses-01,338,0
sub-20619,ses-01,339,0
sub-20619,ses-01,340,0
sub-20619,ses-01,341,0
sub-20619,ses-01,342,0
sub-20619,ses-01,343,0
sub-20619,ses-01,344,0
sub-20619,ses-01,345,0
sub-20619,ses-01,346,0
sub-20619,ses-01,347,0
sub-20619,ses-01,348,0
sub-20619,ses-01,349,0
sub-20619,ses-01,350,0
sub-20619,ses-01,351,0
sub-20619,ses-01,352,0
sub-20619,ses-01,353,0
sub-20619,ses-01,354,0
sub-20619,ses-01,355,0
sub-20619,ses-01,356,0
sub-20619,ses-01,357,0
sub-20619,ses-01,358,2
sub-20619,ses-01,359,0
sub-20619,ses-01,360,0
sub-20619,ses-01,361,0
sub-20619,ses-01,362,0
sub-20619,ses-01,363,0
sub-20619,ses-01,364,0
sub-20619,ses-01,365,0
sub-20619,ses-01,366,0
sub-20619,ses-01,367,0
sub-20619,ses-01,368,0
sub-20619,ses-01,369,0
sub-20619,ses-01,370,0
sub-20619,ses-01,371,0
sub-20619,ses-01,372,0
sub-20619,ses-01,373,0
sub-20619,ses-01,374,0
sub-20619,ses-01,375,0
sub-20619,ses-01,376,0
sub-20619,ses-01,377,0
sub-20619,ses-01,378,0
sub-20619,ses-01,379,0
sub-20619,ses-01,380,0
sub-20619,ses-01,381,0
sub-20619,ses-01,382,0
sub-20619,ses-01,383,0
sub-20619,ses-01,384,0
sub-20619,ses-01,385,0
sub-20619,ses-01,386,0
sub-20619,ses-01,387,0
sub-20619,ses-01,388,1
sub-20619,ses-01,389,1
sub-20619,ses-01,390,0
sub-20619,ses-01,391,0
sub-20619,ses-01,392,0
sub-20619,ses-01,393,1
sub-20619,ses-01,394,1
sub-20619,ses-01,395,1
sub-20619,ses-01,396,1
sub-20619,ses-01,397,1
sub-20619,ses-01,398,2
sub-20619,ses-01,399,2
sub-20619,ses-01,400,2
sub-20619,ses-01,401,1
sub-20619,ses-01,402,2
sub-20619,ses-01,403,2
sub-20619,ses-01,404,2
sub-20619,ses-01,405,1
sub-20619,ses-01,406,2
sub-20619,ses-01,407,0
sub-20619,ses-01,408,1
sub-20619,ses-01,409,1
sub-20619,ses-01,410,1
sub-20619,ses-01,411,0
sub-20619,ses-01,412,0
sub-20619,ses-01,413,0
sub-20619,ses-01,414,0
sub-20619,ses-01,415,0
sub-20619,ses-01,416,0
sub-20619,ses-01,417,0
sub-20619,ses-01,418,0
sub-20619,ses-01,419,0
sub-20619,ses-01,420,0
sub-20619,ses-01,421,0
sub-20619,ses-01,422,1
sub-20619,ses-01,423,0
sub-20619,ses-01,424,0
sub-20619,ses-01,425,1
sub-20619,ses-01,426,1
sub-20619,ses-01,427,1
sub-20619,ses-01,428,1
sub-20619,ses-01,429,1
sub-20619,ses-01,430,1
sub-20619,ses-01,431,1
sub-20619,ses-01,432,2
sub-20619,ses-01,433,1
sub-20619,ses-01,434,0
sub-20619,ses-01,435,0
sub-20619,ses-01,436,2
sub-20619,ses-01,437,0
sub-20619,ses-01,438,1
sub-20619,ses-01,439,1
sub-20619,ses-01,440,2
sub-20619,ses-01,441,2
sub-20619,ses-01,442,2
sub-20619,ses-01,443,2
sub-20619,ses-01,444,0
sub-20619,ses-01,445,0
sub-20619,ses-01,446,0
sub-20619,ses-01,447,2
sub-20619,ses-01,448,0
sub-20619,ses-01,449,0
sub-20619,ses-01,450,2
sub-20619,ses-01,451,2
sub-20619,ses-01,452,2
sub-20619,ses-01,453,2
sub-20619,ses-01,454,2
sub-20619,ses-01,455,2
sub-20619,ses-01,456,2
sub-20619,ses-01,457,2
sub-20619,ses-01,458,2
sub-20619,ses-01,459,2
sub-20619,ses-01,460,2
sub-20619,ses-01,461,0
sub-20619,ses-01,462,0
sub-20619,ses-01,463,0
sub-20619,ses-01,464,0
sub-20619,ses-01,465,0
sub-20619,ses-01,466,4
sub-20619,ses-01,467,1
sub-20619,ses-01,468,0
sub-20619,ses-01,469,0
sub-20619,ses-01,470,0
sub-20619,ses-01,471,0
sub-20619,ses-01,472,2
sub-20619,ses-01,473,0
sub-20619,ses-01,474,2
sub-20619,ses-01,475,2
sub-20619,ses-01,476,2
sub-20619,ses-01,477,2
sub-20619,ses-01,478,2
sub-20619,ses-01,479,2
sub-20619,ses-01,480,2
sub-20619,ses-01,481,2
sub-20619,ses-01,482,2
sub-20619,ses-01,483,2
sub-20619,ses-01,484,2
sub-20619,ses-01,485,2
sub-20619,ses-01,486,2
sub-20619,ses-01,487,2
sub-20619,ses-01,488,2
sub-20619,ses-01,489,2
sub-20619,ses-01,490,2
sub-20619,ses-01,491,2
sub-20619,ses-01,492,2
sub-20619,ses-01,493,0
sub-20619,ses-01,494,0
sub-20619,ses-01,495,2
sub-20619,ses-01,496,2
sub-20619,ses-01,497,0
sub-20619,ses-01,498,2
sub-20619,ses-01,499,0
sub-20619,ses-01,500,2
sub-20619,ses-01,501,2
sub-20619,ses-01,502,4
sub-20619,ses-01,503,4
sub-20619,ses-01,504,4
sub-20619,ses-01,505,4
sub-20619,ses-01,506,4
sub-20619,ses-01,507,4
sub-20619,ses-01,508,4
sub-20619,ses-01,509,4
sub-20619,ses-01,510,4
sub-20619,ses-01,511,4
sub-20619,ses-01,512,4
sub-20619,ses-01,513,4
sub-20619,ses-01,514,4
sub-20619,ses-01,515,4
sub-20619,ses-01,516,4
sub-20619,ses-01,517,4
sub-20619,ses-01,518,4
sub-20619,ses-01,519,4
sub-20619,ses-01,520,4
sub-20619,ses-01,521,0
sub-20619,ses-01,522,0
sub-20619,ses-01,523,0
sub-20619,ses-01,524,0
